ObjectId,kod,nazev,datum_exportu,GlobalID,SHAPE_Length
50,660418,Chironova,2023/09/21 00:00:00+00,{63CEE6AB-A9DD-4E6F-BA35-275B5D53A9BC},0.0185625846635123
51,22888,Ernsta Macha,2023/09/21 00:00:00+00,{D7FB5306-309A-4AF7-AAFC-1FE8B9ED0FF6},0.00342780417979735
52,27251,Lužická,2023/09/21 00:00:00+00,{C0263F1B-599A-4961-ABDE-687BDF878A7E},0.00317026425771004
53,1155661,Ulička Václava Havla,2023/09/21 00:00:00+00,{F7E0AD6B-12DE-48FA-B890-EC1E154BDC4D},0.000758884493779651
54,35378,Zábranského,2023/09/21 00:00:00+00,{1EB15F30-8447-4BA1-839B-40E85EE74A5A},0.00117353942159942
55,25071,Josefy Faimonové,2023/09/21 00:00:00+00,{68782DAC-3AC9-4F7E-85F9-97C1C9832CD4},0.0148955631882545
56,35220,Ypsilantiho,2023/09/21 00:00:00+00,{ED603FDC-644D-4707-A2EB-21C30577537A},0.00122354436813748
57,27201,Ludmily Konečné,2023/09/21 00:00:00+00,{4BD5001A-6F4D-4290-B98B-8152E7F04AE2},0.00130969490750867
58,31160,Rybníček,2023/09/21 00:00:00+00,{81EDE7BE-6FDB-49EF-A6CB-DEDAB39FF579},0.00434636475726398
59,801089,Uhlířova,2023/09/21 00:00:00+00,{3346254D-D249-459E-8B3E-909AC5BA70F7},0.00294081260336607
60,26824,Kytnerova,2023/09/21 00:00:00+00,{FF1A42B4-C88D-4A28-B48C-F85D22767E9E},0.00430525827713401
61,29971,Pokorova,2023/09/21 00:00:00+00,{78939CD6-41B2-405D-87F6-9D23D846BAFE},0.00231808547889569
62,27448,Marie Hübnerové,2023/09/21 00:00:00+00,{40833B2C-79C6-4E3D-A7DC-ECA5DE221240},0.00365108257189456
63,2830582,Slavomila Janáčka,2023/09/21 00:00:00+00,{21367DBD-28BC-4A4C-93E4-56A1747227EA},0.00230864447365079
64,22390,Čápkova,2023/09/21 00:00:00+00,{C3B16AC5-F923-4245-BA5F-F6A7C9040CEB},0.00523694216008694
65,26611,Kubíčkova,2023/09/21 00:00:00+00,{24CF7BD6-60DD-46F2-AD19-46DB267BAE24},0.00271389267615778
66,3029867,Placzkova,2023/09/21 00:00:00+00,{ABA47218-D3A0-426E-97A0-4AEA3BC2E2DD},0.00113789564548268
